"","Volume","UV"
"1",0,0.000842
"31",0.1,-0.000262
"91",0.2,5.7e-05
"151",0.3,0.001208
"212",0.4,0.000401
"272",0.5,-0.004889
"331",0.6,-0.005484
"392",0.7,0.000722
"451",0.8,0.000631
"511",0.9,0.000271
"572",1,0.000371
"633",1.1,0.000584
"693",1.2,0.00019
"752",1.3,0.000753
"812",1.4,0.00036
"872",1.5,0.000301
"933",1.6,0.000437
"993",1.7,-0.000279
"1052",1.8,7.3e-05
"1112",1.9,0.000194
"1172",2,0.000295
"1233",2.1,0.000358
"1292",2.2,0.000904
"1352",2.3,0.001013
"1413",2.4,0.000393
"1472",2.5,-0.000123
"1533",2.6,0.001075
"1592",2.7,0.000394
"1652",2.8,-0.000605
"1713",2.9,0.001162
"1772",3,0.001058
"1833",3.1,0.000995
"1892",3.2,0.001039
"1952",3.3,0.001463
"2013",3.4,0.001678
"2072",3.5,0.002691
"2133",3.6,0.002266
"2192",3.7,0.001737
"2252",3.8,0.002597
"2313",3.9,0.001175
"2372",4,0.001706
"2432",4.1,0.001584
"2492",4.2,0.000453
"2552",4.3,0.002102
"2613",4.4,0.001268
"2673",4.5,0.000228
"2732",4.6,0.000593
"2792",4.7,0.000317
"2852",4.8,0.000657
"2913",4.9,-0.000147
"2973",5,8e-05
"3033",5.1,-0.000645
"3093",5.2,0.000189
"3152",5.3,-0.001272
"3213",5.4,-0.002618
"3273",5.5,-0.000429
"3333",5.6,-0.00091
"3393",5.7,-0.000501
"3452",5.8,0.000145
"3513",5.9,0.000354
"3573",6,-0.000717
"3633",6.1,-9.7e-05
"3693",6.2,4e-04
"3752",6.3,-0.001177
"3813",6.4,8e-06
"3873",6.5,-0.000591
"3933",6.6,-0.00064
"3993",6.7,0.000552
"4052",6.8,-0.000578
"4113",6.9,-0.000503
"4173",7,-0.000168
"4234",7.1,-0.000258
"4294",7.2,0.000674
"4353",7.3,-0.000912
"4414",7.4,-0.000803
"4474",7.5,8e-05
"4535",7.6,0.000946
"4595",7.7,0.000372
"4654",7.8,0.000823
"4715",7.9,0.002254
"4775",8,0.002843
"4835",8.1,0.00445
"4896",8.2,0.005544
"4955",8.3,0.004906
"5016",8.4,0.005149
"5076",8.5,0.005256
"5136",8.6,0.005393
"5197",8.7,0.00553
"5256",8.8,0.006399
"5317",8.9,0.007726
"5377",9,0.008706
"5437",9.1,0.010116
"5498",9.2,0.011058
"5557",9.3,0.01317
"5618",9.4,0.016538
"5678",9.5,0.019165
"5738",9.6,0.023423
"5799",9.7,0.027448
"5858",9.8,0.031024
"5919",9.9,0.034242
"5979",10,0.037532
"6039",10.1,0.041766
"6100",10.2,0.047064
"6159",10.3,0.054145
"6220",10.4,0.064817
"6280",10.5,0.077957
"6340",10.6,0.090535
"6401",10.7,0.102194
"6460",10.8,0.109845
"6521",10.9,0.112378
"6581",11,0.11539
"6641",11.1,0.113542
"6702",11.2,0.110829
"6761",11.3,0.108032
"6822",11.4,0.107466
"6882",11.5,0.108144
"6942",11.6,0.112631
"7003",11.7,0.119815
"7062",11.8,0.137221
"7123",11.9,0.170808
"7183",12,0.223922
"7243",12.1,0.287923
"7304",12.2,0.337023
"7363",12.3,0.395218
"7424",12.4,0.417253
"7484",12.5,0.428646
"7544",12.6,0.429565
"7605",12.7,0.433598
"7664",12.8,0.431622
"7725",12.9,0.428823
"7785",13,0.421102
"7845",13.1,0.408461
"7906",13.2,0.389977
"7965",13.3,0.365251
"8026",13.4,0.331646
"8086",13.5,0.300545
"8146",13.6,0.268963
"8207",13.7,0.238078
"8266",13.8,0.209924
"8327",13.9,0.173945
"8387",14,0.151921
"8447",14.1,0.134164
"8508",14.2,0.126042
"8567",14.3,0.112415
"8628",14.4,0.100269
"8688",14.5,0.090839
"8748",14.6,0.083734
"8809",14.7,0.077765
"8868",14.8,0.070553
"8929",14.9,0.067125
"8989",15,0.063428
"9049",15.1,0.061626
"9110",15.2,0.059382
"9169",15.3,0.058724
"9230",15.4,0.061544
"9290",15.5,0.065237
"9350",15.6,0.071174
"9411",15.7,0.083658
"9470",15.8,0.09894
"9531",15.9,0.116014
"9591",16,0.133861
"9652",16.1,0.148578
"9712",16.2,0.15641
"9771",16.3,0.158047
"9831",16.4,0.154561
"9891",16.5,0.144109
"9953",16.6,0.132247
"10013",16.7,0.11996
"10072",16.8,0.106586
"10132",16.9,0.09638
"10192",17,0.085315
"10254",17.1,0.074169
"10314",17.2,0.064825
"10373",17.3,0.058303
"10433",17.4,0.052246
"10493",17.5,0.047463
"10555",17.6,0.042243
"10615",17.7,0.039204
"10674",17.8,0.034957
"10734",17.9,0.03309
"10794",18,0.030816
"10856",18.1,0.027241
"10916",18.2,0.025472
"10975",18.3,0.024196
"11035",18.4,0.022442
"11095",18.5,0.020654
"11157",18.6,0.019298
"11217",18.7,0.019144
"11276",18.8,0.017104
"11336",18.9,0.015288
"11396",19,0.014603
"11458",19.1,0.012841
"11518",19.2,0.013745
"11577",19.3,0.011404
"11637",19.4,0.011321
"11697",19.5,0.011707
"11759",19.6,0.010758
"11819",19.7,0.01061
"11878",19.8,0.010553
"11938",19.9,0.008528
"11998",20,0.00772
"12060",20.1,0.007962
"12120",20.2,0.006197
"12179",20.3,0.00621
"12239",20.4,0.006588
"12299",20.5,0.00044
"12361",20.6,-0.001014
"12421",20.7,0.004359
"12480",20.8,0.00492
"12540",20.9,0.006314
"12600",21,0.005223
"12662",21.1,0.004616
"12722",21.2,0.003073
"12781",21.3,0.003587
"12841",21.4,0.002333
"12901",21.5,0.002982
"12963",21.6,0.002515
