"","Volume","UV"
"1",0,0.000901
"31",0.1,0.008537
"91",0.2,0.010905
"151",0.3,0.012188
"212",0.4,0.014378
"272",0.5,0.004446
"331",0.6,0.001625
"392",0.7,0.000914
"451",0.8,0.000258
"511",0.9,2.4e-05
"572",1,-0.000838
"633",1.1,-0.000303
"693",1.2,-0.001637
"752",1.3,0.004587
"812",1.4,0.004601
"872",1.5,-0.000379
"933",1.6,0.004166
"993",1.7,0.004436
"1052",1.8,0.004044
"1112",1.9,0.004083
"1172",2,0.003638
"1233",2.1,0.004247
"1292",2.2,0.003309
"1352",2.3,0.002797
"1413",2.4,0.003452
"1472",2.5,0.003831
"1533",2.6,0.00456
"1592",2.7,0.004575
"1652",2.8,0.003673
"1713",2.9,0.003566
"1772",3,0.004037
"1833",3.1,0.002781
"1892",3.2,0.003281
"1952",3.3,0.002884
"2013",3.4,0.002702
"2072",3.5,0.002656
"2133",3.6,0.003128
"2192",3.7,0.00323
"2252",3.8,0.003212
"2313",3.9,0.00402
"2372",4,0.003843
"2432",4.1,0.002733
"2492",4.2,0.004109
"2552",4.3,0.0039
"2613",4.4,0.003059
"2673",4.5,0.002964
"2732",4.6,0.003381
"2792",4.7,0.002933
"2852",4.8,0.003274
"2913",4.9,0.003717
"2973",5,0.003832
"3033",5.1,0.003611
"3093",5.2,0.00551
"3152",5.3,0.003933
"3213",5.4,0.003117
"3273",5.5,0.003738
"3333",5.6,0.003605
"3393",5.7,0.004068
"3452",5.8,0.003471
"3513",5.9,0.003461
"3573",6,0.003945
"3633",6.1,0.004731
"3693",6.2,0.004895
"3752",6.3,0.005741
"3813",6.4,0.000385
"3873",6.5,0.008339
"3933",6.6,0.010442
"3993",6.7,0.013362
"4052",6.8,0.017854
"4113",6.9,0.022774
"4173",7,0.029049
"4234",7.1,0.042477
"4294",7.2,0.069827
"4353",7.3,0.125362
"4414",7.4,0.207984
"4474",7.5,0.301972
"4535",7.6,0.388304
"4595",7.7,0.461584
"4654",7.8,0.514238
"4715",7.9,0.543463
"4775",8,0.549217
"4835",8.1,0.531715
"4896",8.2,0.498243
"4955",8.3,0.459745
"5016",8.4,0.417351
"5076",8.5,0.376607
"5136",8.6,0.327554
"5197",8.7,0.309174
"5256",8.8,0.279028
"5317",8.9,0.247784
"5377",9,0.224055
"5437",9.1,0.200607
"5498",9.2,0.180491
"5557",9.3,0.164294
"5618",9.4,0.14906
"5678",9.5,0.134737
"5738",9.6,0.114609
"5799",9.7,0.111703
"5858",9.8,0.102865
"5919",9.9,0.093897
"5979",10,0.087228
"6039",10.1,0.081463
"6100",10.2,0.075135
"6159",10.3,0.070614
"6220",10.4,0.065456
"6280",10.5,0.061768
"6340",10.6,0.058556
"6401",10.7,0.056004
"6460",10.8,0.053329
"6521",10.9,0.050717
"6581",11,0.048362
"6641",11.1,0.046757
"6702",11.2,0.044511
"6761",11.3,0.041327
"6822",11.4,0.039856
"6882",11.5,0.038369
"6942",11.6,0.037034
"7003",11.7,0.03453
"7062",11.8,0.033674
"7123",11.9,0.031636
"7183",12,0.025181
"7243",12.1,0.023362
"7304",12.2,0.027157
"7363",12.3,0.027072
"7424",12.4,0.026291
"7484",12.5,0.025263
"7544",12.6,0.023793
"7605",12.7,0.023251
"7664",12.8,0.02326
"7725",12.9,0.020876
"7785",13,0.02016
"7845",13.1,0.019736
"7906",13.2,0.018907
"7965",13.3,0.018504
"8026",13.4,0.017163
"8086",13.5,0.017566
"8146",13.6,0.016966
"8207",13.7,0.016462
"8266",13.8,0.017708
"8327",13.9,0.015833
"8387",14,0.015796
"8447",14.1,0.014591
"8508",14.2,0.015734
"8567",14.3,0.015285
"8628",14.4,0.014511
"8688",14.5,0.013155
"8748",14.6,0.013643
"8809",14.7,0.013157
"8868",14.8,0.01331
"8929",14.9,0.012006
"8989",15,0.01132
"9049",15.1,0.011531
