Run Name,2014-08-06 cytochome c albumin
Run Date,11:47:06 AM   08-06-14
Method Name,Superdex 75 Collection 7-37 mL.4
Export Format Version, 1.00
Method ID, 3997
Points/Second, 5.00
Number of Records,  14157
Offset from Run Start Time,00:00:00
Run End Time,00:47:05
Time,Second
UV,AU,
Conductivity,mS/cm
Gradient Pump,%B
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,Tube Number
Time,UV,Conductivity,Gradient Pump,GP Pressure,Volume,Fraction
     0.0,-0.002997,  18.502,100,  120,     0.0,0
     0.2,-0.003056,  18.498,100,  121,     0.0,0
     0.4,-0.002949,  18.485,100,  122,     0.0,0
     0.6,-0.002946,  18.487,100,  123,     0.0,0
     0.8,-0.002929,  18.485,100,  124,     0.0,0
     1.0,-0.002645,  18.476,100,  126,     0.0,0
     1.2,-0.002571,  18.469,100,  128,     0.0,0
     1.4,-0.002663,  18.471,100,  128,     0.0,0
     1.6,-0.002888,  18.468,100,  128,     0.0,0
     1.8,-0.003110,  18.464,100,  129,     0.0,0
     2.0,-0.003202,  18.466,100,  129,     0.0,0
     2.2,-0.003349,  18.457,100,  130,     0.0,0
     2.4,-0.003303,  18.461,100,  131,     0.0,0
     2.6,-0.003187,  18.458,100,  131,     0.0,0
     2.8,-0.003144,  18.456,100,  132,     0.0,0
     3.0,-0.003069,  18.459,100,  133,     0.0,0
     3.2,-0.003174,  18.449,100,  133,     0.0,0
     3.4,-0.003144,  18.453,100,  133,     0.0,0
     3.6,-0.002681,  18.448,100,  132,     0.0,0
     3.8,-0.001923,  18.445,100,  133,     0.0,0
     4.0,-0.001434,  18.444,100,  133,     0.0,0
     4.2,-0.000378,  18.450,100,  133,     0.0,0
     4.4,0.000277,  18.443,100,  133,     0.0,0
     4.6,0.000889,  18.443,100,  133,     0.0,0
     4.8,0.001474,  18.445,100,  133,     0.0,0
     5.0,0.001729,  18.447,100,  133,     0.0,0
     5.2,0.001835,  18.449,100,  134,     0.0,0
     5.4,0.002060,  18.439,100,  134,     0.0,0
     5.6,0.002421,  18.445,100,  134,     0.0,0
     5.8,0.002450,  18.445,100,  133,     0.0,0
     6.0,0.002465,  18.442,100,  133,     0.1,0
     6.2,0.002645,  18.448,100,  133,     0.1,0
     6.4,0.002766,  18.439,100,  133,     0.1,0
     6.6,0.002449,  18.446,100,  132,     0.1,0
     6.8,0.002209,  18.439,100,  132,     0.1,0
     7.0,0.002405,  18.442,100,  133,     0.1,0
     7.2,0.001925,  18.441,100,  133,     0.1,0
     7.4,0.001924,  18.451,100,  133,     0.1,0
     7.6,0.001985,  18.448,100,  133,     0.1,0
     7.8,0.002120,  18.440,100,  133,     0.1,0
     8.0,0.001821,  18.443,100,  134,     0.1,0
     8.2,0.002180,  18.447,100,  133,     0.1,0
