"Volume","UV"
0,-0.002997
0.1,0.002465
0.2,0.002794
0.3,0.002189
0.4,0.002345
0.5,0.002465
0.6,0.002736
0.7,0.001579
0.8,0.002117
0.9,0.002314
1,0.001952
1.1,0.002675
1.2,0.003097
1.3,0.003095
1.4,0.003052
1.5,0.002178
1.6,0.002749
1.7,0.00221
1.8,0.002421
1.9,0.002602
2,0.002929
2.1,0.002461
2.2,0.001398
2.3,0.002268
2.4,0.002206
2.5,0.002028
2.6,0.001773
2.7,0.00221
2.8,0.002043
2.9,0.000706
3,0.002045
3.1,0.00242
3.2,0.002167
3.3,0.002062
3.4,0.001777
3.5,0.001103
3.6,0.001848
3.7,0.002298
3.8,0.001727
3.9,0.002122
4,0.002253
4.1,0.002001
4.2,0.002374
4.3,0.002542
4.4,0.002417
4.5,0.001937
4.6,0.002253
4.7,0.002164
4.8,0.001923
4.9,0.001939
5,0.002102
5.1,0.002538
5.2,0.00228
5.3,0.002057
5.4,0.001516
5.5,0.001722
5.6,0.002224
5.7,0.001559
5.8,0.001201
5.9,0.00132
6,0.002387
6.1,0.00287
6.2,0.002448
6.3,0.001954
6.4,0.001393
6.5,0.001365
6.6,-0.004263
6.7,0.002298
6.8,0.001982
6.9,0.00356
7,0.003486
7.1,0.003726
7.2,0.002882
7.3,0.003377
7.4,0.004088
7.5,0.002998
7.6,0.006022
7.7,0.004342
7.8,0.006219
7.9,0.00804
8,0.01125
8.1,0.015077
8.2,0.020291
8.3,0.025864
8.4,0.032558
8.5,0.040435
8.6,0.049779
8.7,0.061729
8.8,0.071234
8.9,0.080644
9,0.085947
9.1,0.088233
9.2,0.08968
9.3,0.088632
9.4,0.091612
9.5,0.095499
9.6,0.107043
9.7,0.127897
9.8,0.158074
9.9,0.195075
10,0.236574
10.1,0.272845
10.2,0.304106
10.3,0.307872
10.4,0.325292
10.5,0.321342
10.6,0.307659
10.7,0.283406
10.8,0.241902
10.9,0.220353
11,0.188503
11.1,0.159317
11.2,0.133836
11.3,0.1119
11.4,0.094891
11.5,0.080415
11.6,0.068514
11.7,0.058615
11.8,0.051953
11.9,0.045421
12,0.040096
12.1,0.036167
12.2,0.033218
12.3,0.030824
12.4,0.029802
12.5,0.028547
12.6,0.030022
12.7,0.032214
12.8,0.034227
12.9,0.036418
13,0.04024
13.1,0.04506
13.2,0.050509
13.3,0.05621
13.4,0.063821
13.5,0.076812
13.6,0.095038
13.7,0.128218
13.8,0.184279
13.9,0.260383
14,0.353735
14.1,0.439986
14.2,0.511117
14.3,0.55356
14.4,0.560018
14.5,0.541346
14.6,0.495769
14.7,0.437215
14.8,0.374639
14.9,0.314428
15,0.26294
15.1,0.219199
15.2,0.18393
15.3,0.152547
15.4,0.127486
15.5,0.108562
15.6,0.094504
15.7,0.081431
15.8,0.069726
15.9,0.061689
16,0.054361
16.1,0.048568
16.2,0.044002
16.3,0.040242
16.4,0.035885
16.5,0.03317
16.6,0.030017
16.7,0.028269
16.8,0.025034
16.9,0.022352
17,0.020295
17.1,0.018684
17.2,0.011534
17.3,0.010037
17.4,0.009496
17.5,0.00867
17.6,0.008391
17.7,0.007626
17.8,0.007961
17.9,0.0068
18,0.006983
18.1,0.005946
18.2,0.005185
18.3,0.004365
18.4,0.004181
18.5,0.004727
18.6,0.005078
18.7,0.004073
18.8,0.004348
18.9,0.002937
19,0.002704
19.1,0.003224
19.2,0.003
19.3,0.000769
19.4,0.000563
19.5,0.002269
19.6,0.002331
19.7,0.001058
19.8,0.001122
19.9,0.001139
20,0.001697
20.1,0.001195
20.2,0.000744
20.3,0.000776
20.4,0.000251
20.5,0.000185
20.6,0.000371
20.7,0.000476
20.8,0.000656
20.9,0.001155
21,0.000114
21.1,0.001259
21.2,0.000718
21.3,7.2e-05
21.4,0.002661
21.5,0.002873
21.6,-0.000316
21.7,0.000436
21.8,-0.000389
21.9,-0.00032
22,0.000244
22.1,-0.00023
22.2,-0.001349
22.3,-0.001584
22.4,-0.002141
22.5,-0.000343
22.6,1.4e-05
22.7,-0.000302
22.8,0.000375
22.9,0.000419
23,-0.000322
23.1,-0.001507
23.2,-0.001169
23.3,-0.00042
23.4,-0.001736
23.5,-0.001124
