Run Name,2014-08-29 Protein 1
Run Date,03:05:15 PM   08-30-14
Method Name,Superdex 75 Collection 7-37 mL.4
Export Format Version, 1.00
Method ID, 3999
Points/Second, 5.00
Number of Records,  18030
Offset from Run Start Time,00:00:00
Run End Time,01:00:00
Time,Second
UV,AU,
Conductivity,mS/cm
Gradient Pump,%B
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,Tube Number
Time,UV,Conductivity,Gradient Pump,GP Pressure,Volume,Fraction
     0.0,0.002186,  18.579,100,  -11,     0.0,0
     0.2,0.001876,  18.583,100,  -11,     0.0,0
     0.4,0.002090,  18.584,100,  -11,     0.0,0
     0.6,0.002207,  18.581,100,  -11,     0.0,0
     0.8,0.002498,  18.586,100,  -11,     0.0,0
     1.0,0.002479,  18.585,100,  -11,     0.0,0
     1.2,0.003043,  18.581,100,  -11,     0.0,0
     1.4,0.002946,  18.588,100,  -11,     0.0,0
     1.6,0.003121,  18.581,100,  -10,     0.0,0
     1.8,0.002830,  18.584,100,  -10,     0.0,0
     2.0,0.002674,  18.583,100,  -10,     0.0,0
     2.2,0.002324,  18.582,100,  -10,     0.0,0
     2.4,0.001936,  18.580,100,  -10,     0.0,0
     2.6,0.001800,  18.585,100,  -10,     0.0,0
     2.8,0.001858,  18.583,100,   -9,     0.0,0
     3.0,0.002052,  18.585,100,   -9,     0.0,0
     3.2,0.002285,  18.583,100,   -9,     0.0,0
     3.4,0.002362,  18.583,100,   -9,     0.0,0
     3.6,0.002343,  18.583,100,   -9,     0.0,0
     3.8,0.002867,  18.587,100,   -9,     0.0,0
     4.0,0.002905,  18.579,100,   -9,     0.0,0
     4.2,0.002362,  18.587,100,   -9,     0.0,0
     4.4,0.002573,  18.581,100,   -8,     0.0,0
     4.6,0.002513,  18.585,100,   -8,     0.0,0
     4.8,0.001951,  18.582,100,   -8,     0.0,0
     5.0,0.001699,  18.585,100,   -8,     0.0,0
     5.2,0.002491,  18.579,100,   -8,     0.0,0
     5.4,0.002685,  18.578,100,   -8,     0.0,0
     5.6,0.003226,  18.585,100,   -7,     0.0,0
     5.8,0.003209,  18.586,100,   -7,     0.0,0
     6.0,0.003286,  18.578,100,   -7,     0.1,0
     6.2,0.002897,  18.591,100,   -7,     0.1,0
     6.4,0.002701,  18.586,100,   -6,     0.1,0
     6.6,0.002544,  18.582,100,   -6,     0.1,0
     6.8,0.002579,  18.581,100,   -6,     0.1,0
     7.0,0.002710,  18.587,100,   -6,     0.1,0
     7.2,0.003015,  18.585,100,   -5,     0.1,0
     7.4,0.003089,  18.585,100,   -5,     0.1,0
     7.6,0.003184,  18.580,100,   -5,     0.1,0
     7.8,0.003261,  18.593,100,   -5,     0.1,0
     8.0,0.003033,  18.587,100,   -5,     0.1,0
     8.2,0.002077,  18.582,100,   -4,     0.1,0
     8.4,0.001963,  18.582,100,   -4,     0.1,0
     8.6,0.001753,  18.587,100,   -4,     0.1,0
     8.8,0.001447,  18.593,100,   -4,     0.1,0
     9.0,0.002120,  18.591,100,   -3,     0.1,0
     9.2,0.002660,  18.587,100,   -3,     0.1,0
     9.4,0.002505,  18.589,100,   -3,     0.1,0
     9.6,0.002409,  18.581,100,   -3,     0.1,0
     9.8,0.002735,  18.582,100,   -2,     0.1,0
    10.0,0.002368,  18.590,100,   -2,     0.1,0
    10.2,0.002156,  18.585,100,   -2,     0.1,0
    10.4,0.002116,  18.576,100,   -1,     0.1,0
    10.6,0.002363,  18.580,100,   -1,     0.1,0
    10.8,0.002455,  18.581,100,   -1,     0.1,0
    11.0,0.002413,  18.579,100,   -0,     0.1,0
    11.2,0.002809,  18.577,100,   -0,     0.1,0
    11.4,0.002672,  18.577,100,    0,     0.1,0
    11.6,0.002631,  18.584,100,    1,     0.1,0
    11.8,0.002439,  18.582,100,    1,     0.1,0
    12.0,0.002682,  18.574,100,    1,     0.1,0
    12.2,0.002624,  18.574,100,    2,     0.1,0
    12.4,0.003036,  18.579,100,    2,     0.1,0
    12.6,0.002733,  18.589,100,    2,     0.1,0
    12.8,0.003050,  18.584,100,    3,     0.1,0
    13.0,0.002767,  18.583,100,    3,     0.1,0
    13.2,0.002914,  18.592,100,    4,     0.1,0
    13.4,0.002968,  18.588,100,    4,     0.1,0
    13.6,0.002985,  18.580,100,    5,     0.1,0
    13.8,0.002665,  18.587,100,    5,     0.1,0
    14.0,0.002925,  18.581,100,    5,     0.1,0
